-90 Degrees	-90 Grad	-90 degrés	-90 gradi
Sharing works only if you load files by url. Please upload your model files to a web server, open them by url, and try embedding again.	Teilen funktioniert nur bei Dateien, die über eine URL geöffnet wurden. Lokal geöffnete Dateien werden nicht hochgeladen. Nutze bei Bedarf einen eigenen geeigneten Speicherort und öffne anschließend dessen Datei-URL.	Le partage fonctionne uniquement pour les fichiers ouverts depuis une URL. Les fichiers ouverts localement ne sont pas envoyés à un serveur. Si nécessaire, utilise un hébergement adapté et ouvre ensuite l’URL du fichier.	La condivisione funziona solo per i file aperti da un URL. I file aperti localmente non vengono caricati su un server. Se necessario, usa uno spazio di archiviazione adatto e apri poi l’URL del file.
Show Edges	Kanten anzeigen	Afficher les arêtes	Mostra gli spigoli
Show all meshes	Alle Meshes anzeigen	Afficher tous les maillages	Mostra tutte le mesh
Show/hide meshes	Meshes ein-/ausblenden	Afficher/masquer les maillages	Mostra/nascondi le mesh
Size X	Maß X	Dimension X	Dimensione X
Size Y	Maß Y	Dimension Y	Dimensione Y
Size Z	Maß Z	Dimension Z	Dimensione Z
Small (1280x720)	Klein (1280 × 720)	Petite (1280 × 720)	Piccola (1280 × 720)
Something went wrong	Ein Fehler ist aufgetreten	Une erreur est survenue	Si è verificato un errore
Source	Quelle	Source	Origine
Specular	Glanz	Spéculaire	Speculare
Specular Map	Glanz-Map	Texture spéculaire	Mappa speculare
Surface	Oberfläche	Surface	Superficie
The model contains no faces.	Das Modell enthält keine Flächen.	Le modèle ne contient aucune face.	Il modello non contiene facce.
The model contains no vertices.	Das Modell enthält keine Punkte.	Le modèle ne contient aucun sommet.	Il modello non contiene vertici.
The model doesn't contain any 3D meshes. Try to save the model while you are in shaded view in Rhino.	Das Modell enthält keine 3D-Meshes. Speichere es in Rhino in der schattierten Ansicht und versuche es erneut.	Le modèle ne contient aucun maillage 3D. Enregistre-le dans Rhino en vue ombrée, puis réessaie.	Il modello non contiene mesh 3D. Salvalo in Rhino in una vista ombreggiata e riprova.
The model doesn't contain any meshes.	Das Modell enthält keine Meshes.	Le modèle ne contient aucun maillage.	Il modello non contiene mesh.
The remote server refused to fulfill the request. Check if the url is correct, and make sure that CORS requests are allowed on the remote server.	Der Server hat die Anfrage abgelehnt. Prüfe die URL und ob der Dateiserver Zugriffe über CORS erlaubt.	Le serveur a refusé la requête. Vérifie l’URL et l’autorisation des requêtes CORS sur le serveur du fichier.	Il server ha rifiutato la richiesta. Verifica l’URL e che il server del file consenta le richieste CORS.
Transparent background	Transparenter Hintergrund	Fond transparent	Sfondo trasparente
Tree view	Baumansicht	Arborescence	Vista ad albero
Triangles	Dreiecke	Triangles	Triangoli
True	Ja	Oui	Sì
Type	Typ	Type	Tipo
Unit	Einheit	Unité	Unità
Unknown	Unbekannt	Inconnu	Sconosciuto
Unknown error.	Unbekannter Fehler.	Erreur inconnue.	Errore sconosciuto.
Unsupported extension: {0}.	Nicht unterstütztes Dateiformat: {0}.	Format non pris en charge : {0}.	Formato non supportato: {0}.
Use customized settings	Eigene Einstellungen verwenden	Utiliser des réglages personnalisés	Usa impostazioni personalizzate
User texts	Benutzertexte	Textes utilisateur	Testi utente
Vertex colors	Punktfarben	Couleurs des sommets	Colori dei vertici
Vertices	Punkte	Sommets	Vertici
Visible Only	Nur Sichtbares	Éléments visibles seulement	Solo elementi visibili
Visualizing Model	Modell wird angezeigt	Affichage du modèle	Visualizzazione del modello
Visualizing model...	Modell wird angezeigt …	Affichage du modèle…	Visualizzazione del modello…
Volume	Volumen	Volume	Volume
Width	Breite	Largeur	Larghezza
